j,H2,O2,N2,T,mu
9328,0.341696,0.328694,0.32961,1669.44,4.20038e-06
9329,0.192937,0.169476,0.637587,796.062,2.98623e-06
9330,0.507059,0.298397,0.194544,1601.65,3.5533e-06
9331,0.386834,0.276833,0.336333,1610.54,3.92364e-06
9332,0.341356,0.153464,0.50518,1238.8,3.41841e-06
9333,0.403093,0.412345,0.184562,1918.9,4.37329e-06
9334,0.35728,0.187445,0.455275,2658.76,5.52099e-06
9335,0.266749,0.170847,0.562403,1123.49,3.45588e-06
9336,0.681389,0.0742364,0.244375,707.826,1.84205e-06
9337,0.755274,0.0570211,0.187704,812.224,1.93234e-06
9338,0.625913,0.0871623,0.286925,938.317,2.28965e-06
9339,0.0698827,0.44441,0.485707,1110.65,4.43798e-06
9340,0.334911,0.154966,0.510124,1184.89,3.34162e-06
9341,0.245591,0.23856,0.515849,2072.49,5.27623e-06
9342,0.15126,0.197756,0.650984,1130.78,3.95548e-06
9343,0.241299,0.277526,0.481176,1974.7,5.15693e-06
9344,0.363479,0.567984,0.0685371,249.97,1.18297e-06
9345,0.100561,0.209569,0.68987,1530.7,5.11972e-06
9346,0.64118,0.0836049,0.275215,799.426,2.04335e-06
9347,0.341476,0.362408,0.296116,2090.19,4.86707e-06
9348,0.636705,0.0846478,0.278648,929.614,2.26039e-06
9349,0.762642,0.0553043,0.182053,679.378,1.71342e-06
9350,0.00702397,0.231363,0.761613,1488.17,5.54228e-06
9351,0.201416,0.399365,0.399219,2011.48,5.51986e-06
9352,0.546032,0.191045,0.262923,2775.13,4.88506e-06
9353,0.0895662,0.212131,0.698303,1248.76,4.54847e-06
9354,0.808085,0.0447162,0.147199,642.923,1.61424e-06
9355,0.989563,0.00243173,0.00800488,358.316,1.01442e-06
9356,0.206404,0.184908,0.608688,1107.05,3.65661e-06
9357,0.138478,0.200735,0.660788,1524.13,4.87411e-06
9358,0.28231,0.212703,0.504987,2320.87,5.44832e-06
9359,0.0117124,0.612841,0.375447,1130.08,4.87643e-06
